"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","thousand_grain_weight","~","stem_diameter","STD_TGW",0.0113219183636514,0.0280797540330176,0.403205752811741,0.686796867960257,-0.0437133882358064,0.0663572249631091
"2","thousand_grain_weight","~","flag_leaf_area","FLA_TGW",-0.0129009047878318,0.0276281234175981,-0.466948282836119,0.640536879848645,-0.0670510316467518,0.0412492220710882
"3","thousand_grain_weight","~","anthesis_score","ANT_TGW",-0.120530955547124,0.0343118618334355,-3.51280720738014,0.000443399084742113,-0.187780968983172,-0.0532809421110758
"4","thousand_grain_weight","~","spikelet_density","SPD_TGW",-0.314560646374423,0.0269014713119936,-11.6930647668398,0,-0.367286561277068,-0.261834731471778
"5","thousand_grain_weight","~","height","HIT_TGW",0.288029368027317,0.0329379950500378,8.74459321491054,0,0.223472084006285,0.35258665204835
"6","thousand_grain_weight","~","emergence_percent","EMP_TGW",0.0984436538146059,0.0352935095609119,2.78928491497014,0.00528245708673669,0.0292696461871985,0.167617661442013
"7","thousand_grain_weight","~","floret_site_utilization","FSU_TGW",-0.181009030221233,0.0259836654784803,-6.9662623378193,3.25472981899111e-12,-0.231936078745391,-0.130081981697075
"8","thousand_grain_weight","~","reproductive_tiller_ct","RTC_TGW",0.0444850422292934,0.0317468137235784,1.40124431436262,0.161141026859323,-0.0177375692928222,0.106707653751409
"9","floret_site_utilization","~","stem_diameter","STD_FSU",0.063020494312478,0.0319328747855994,1.97353024854806,0.0484351817953732,0.00043320980987592,0.12560777881508
"10","floret_site_utilization","~","flag_leaf_area","FLA_FSU",-0.0562857408567737,0.0305582231873456,-1.84191798429177,0.0654871475513701,-0.116178757735508,0.00360727602196042
"11","floret_site_utilization","~","anthesis_score","ANT_FSU",0.116769211810229,0.0378925829513836,3.08158490963903,0.00205901742911774,0.0425011139443207,0.191037309676137
"12","floret_site_utilization","~","spikelet_density","SPD_FSU",-0.0500407966430386,0.0295524266324387,-1.69328892227451,0.0904004856797842,-0.107962488498381,0.00788089521230353
"13","floret_site_utilization","~","height","HIT_FSU",0.148808639369278,0.0365941107076652,4.06646415206117,4.77318235856394e-05,0.077085500335983,0.220531778402574
"14","floret_site_utilization","~","emergence_percent","EMP_FSU",-0.0140920539967264,0.0391125180448505,-0.360295237973863,0.71862636008089,-0.0907511807093064,0.0625670727158536
"15","floret_site_utilization","~","reproductive_tiller_ct","RTC_FSU",0.0157918143801856,0.0351005418187231,0.449902296715032,0.652780891461559,-0.0530039834223537,0.0845876121827248
"16","floret_site_utilization","~","florets_per_spikelet","FPS_FSU",-0.258101716810814,0.0326943686230952,-7.89437838014989,2.88657986402541e-15,-0.322181501809357,-0.194021931812271
"17","yield_per_spike","~","floret_site_utilization","FSU_YPS",0.837905366464508,0.00976361251319988,85.8191950296783,0,0.818769037579632,0.857041695349384
"18","yield_per_spike","~","thousand_grain_weight","TGW_YPS",0.377708758049915,0.0102300460481072,36.9215110346254,0,0.357658236235439,0.397759279864391
"19","yield_per_spike","~","spikelets_per_spike","SPS_YPS",0.349855684504712,0.00965511127654779,36.2352824823997,0,0.330932014135952,0.368779354873472
"20","yield_per_spike","~","florets_per_spikelet","FPS_YPS",0.417258631875791,0.00993821151785495,41.9852838839408,0,0.397780095230054,0.436737168521527
"21","yield_per_spike","~","height","HIT_YPS",0.0602896641198539,0.0110142603826507,5.47378235354052,4.40530070200396e-08,0.0387021104535121,0.0818772177861956
"22","yield_per_plant","~","yield_per_spike","YPS_YPP",0.458926587554139,0.0177510797322298,25.8534463523865,0,0.424135110592269,0.493718064516008
"23","yield_per_plant","~","reproductive_tiller_ct","RTC_YPP",0.577507629978521,0.018244296488898,31.654146287852,0,0.541749465937011,0.613265794020032
"24","FPS_YPS_Direct",":=","FPS_YPS","FPS_YPS_Direct",0.417258631875791,0.00993821151785495,41.9852838839408,0,0.397780095230054,0.436737168521527
