famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN26	35.5256996360801	1.72342191524394	98	32.1056249348918	38.9457743372684	 1     
WGN45	44.6115009711023	1.77725271217042	98	41.0846008053632	48.1384011368414	  2    
WGN07	48.6880952823227	1.65494932820557	98	45.4039022016381	51.9722883630073	  23   
WGN15	51.8976598918289	1.66531552253352	98	48.5928954358733	55.2024243477844	   34  
WGN36	52.6552796951268	1.68252825113211	98	49.316357139464	55.9942022507895	   34  
WGN38	58.0835926799648	1.79303415779886	98	54.525374748991	61.6418106109387	    45 
WGN63	62.1617359992293	1.66265271247935	98	58.8622558031638	65.4612161952948	     5 
WGN46	62.4628425119404	1.66265271247932	98	59.163362315875	65.7623227080059	     5 
WGN39	63.0675920023596	1.67285324132618	98	59.7478691887788	66.3873148159405	     5 
WGN55	71.8501581888299	1.65399408341789	98	68.5678607603375	75.1324556173223	      6
